seqid	source	type	start	end	score	strand	phase	attributes	chr	id	old_lt
CP023154	GenBank	CDS	443087	444181	.	-	1	ID=PFDSM3638_02205.p01;Parent=PFDSM3638_02205.t01;Name=PFDSM3638_02205;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011562.1;product=hydrolase;protein_id=PRJNA382684:PFDSM3638_02205;transl_table=11;translation=length.364	CP023154	PFDSM3638_02205	PF0444
CP023154	GenBank	CDS	444178	445236	.	-	1	ID=PFDSM3638_02210.p01;Parent=PFDSM3638_02210.t01;Name=PFDSM3638_02210;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011563.1;product=galactokinase;protein_id=PRJNA382684:PFDSM3638_02210;transl_table=11;translation=length.352	CP023154	PFDSM3638_02210	PF0445
CP023154	GenBank	CDS	445849	446550	.	-	1	ID=PFDSM3638_02220.p01;Parent=PFDSM3638_02220.t01;Name=PFDSM3638_02220;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011181.1;product=IS6 family transposase ISPfu2;protein_id=PRJNA382684:PFDSM3638_02220;transl_table=11;translation=length.233	CP023154	PFDSM3638_02220	NA
CP023154	GenBank	CDS	446608	447069	.	-	1	ID=PFDSM3638_02225.p01;Parent=PFDSM3638_02225.t01;Name=PFDSM3638_02225;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010480017.1;product=hypothetical protein;protein_id=PRJNA382684:PFDSM3638_02225;transl_table=11;translation=length.153	CP023154	PFDSM3638_02225	PF0448
CP023154	GenBank	CDS	447131	448009	.	+	1	ID=PFDSM3638_02230.p01;Parent=PFDSM3638_02230.t01;Name=PFDSM3638_02230;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011566.1;product=transporter;protein_id=PRJNA382684:PFDSM3638_02230;transl_table=11;translation=length.292	CP023154	PFDSM3638_02230	PF0449
CP023154	GenBank	CDS	448006	449325	.	-	1	ID=PFDSM3638_02235.p01;Parent=PFDSM3638_02235.t01;Name=glnA;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011567.1;locus_tag=PFDSM3638_02235;product=glutamine synthetase;protein_id=PRJNA382684:PFDSM3638_02235;transl_table=11;translation=length.439	CP023154	PFDSM3638_02235	PF0450
CP023154	GenBank	CDS	449484	449762	.	-	1	ID=PFDSM3638_02240.p01;Parent=PFDSM3638_02240.t01;Name=PFDSM3638_02240;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011568.1;product=hypothetical protein;protein_id=PRJNA382684:PFDSM3638_02240;transl_table=11;translation=length.92	CP023154	PFDSM3638_02240	PF0451
CP023154	GenBank	CDS	449765	450175	.	-	1	ID=PFDSM3638_02245.p01;Parent=PFDSM3638_02245.t01;Name=PFDSM3638_02245;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011569.1;product=hypothetical protein;protein_id=PRJNA382684:PFDSM3638_02245;transl_table=11;translation=length.136	CP023154	PFDSM3638_02245	PF0452
CP023154	GenBank	CDS	450185	451768	.	-	1	ID=PFDSM3638_02250.p01;Parent=PFDSM3638_02250.t01;Name=PFDSM3638_02250;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011570.1;product=hypothetical protein;protein_id=PRJNA382684:PFDSM3638_02250;transl_table=11;translation=length.527	CP023154	PFDSM3638_02250	PF0453
CP023154	GenBank	CDS	451874	452986	.	+	1	ID=PFDSM3638_02255.p01;Parent=PFDSM3638_02255.t01;Name=PFDSM3638_02255;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011571.1;product=NAD(P)/FAD-dependent oxidoreductase;protein_id=PRJNA382684:PFDSM3638_02255;transl_table=11;translation=length.370	CP023154	PFDSM3638_02255	PF0454
CP023154	GenBank	CDS	452997	453329	.	+	1	ID=PFDSM3638_02260.p01;Parent=PFDSM3638_02260.t01;Name=PFDSM3638_02260;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011572.1;product=ASCH domain-containing protein;protein_id=PRJNA382684:PFDSM3638_02260;transl_table=11;translation=length.110	CP023154	PFDSM3638_02260	PF0455
CP023154	GenBank	CDS	453326	454825	.	-	1	ID=PFDSM3638_02265.p01;Parent=PFDSM3638_02265.t01;Name=PFDSM3638_02265;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011250791.1;product=carboxypeptidase M32;protein_id=PRJNA382684:PFDSM3638_02265;transl_table=11;translation=length.499	CP023154	PFDSM3638_02265	PF0456
CP023154	GenBank	CDS	454930	455496	.	-	1	ID=PFDSM3638_02270.p01;Parent=PFDSM3638_02270.t01;Name=PFDSM3638_02270;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011574.1;product=metalloprotease;protein_id=PRJNA382684:PFDSM3638_02270;transl_table=11;translation=length.188	CP023154	PFDSM3638_02270	PF0457
CP023154	GenBank	CDS	455507	456073	.	-	1	ID=PFDSM3638_02275.p01;Parent=PFDSM3638_02275.t01;Name=PFDSM3638_02275;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_014733774.1;product=nicotinamide-nucleotide adenylyltransferase;protein_id=PRJNA382684:PFDSM3638_02275;transl_table=11;translation=length.188	CP023154	PFDSM3638_02275	PF0458
CP023154	GenBank	CDS	456079	456852	.	-	1	ID=PFDSM3638_02280.p01;Parent=PFDSM3638_02280.t01;Name=PFDSM3638_02280;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011576.1;product=hydroxide adenosyltransferase;protein_id=PRJNA382684:PFDSM3638_02280;transl_table=11;translation=length.257	CP023154	PFDSM3638_02280	PF0459
CP023154	GenBank	CDS	456925	458529	.	+	1	ID=PFDSM3638_02285.p01;Parent=PFDSM3638_02285.t01;Name=PFDSM3638_02285;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011577.1;product=hypothetical protein;protein_id=PRJNA382684:PFDSM3638_02285;transl_table=11;translation=length.534	CP023154	PFDSM3638_02285	PF0460
CP023154	GenBank	CDS	458545	459126	.	+	1	ID=PFDSM3638_02290.p01;Parent=PFDSM3638_02290.t01;Name=PFDSM3638_02290;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011578.1;product=tRNA (cytidine(56)-2'-O)-methyltransferase;protein_id=PRJNA382684:PFDSM3638_02290;transl_table=11;translation=length.193	CP023154	PFDSM3638_02290	PF0461
CP023154	GenBank	CDS	459074	459637	.	+	1	ID=PFDSM3638_02295.p01;Parent=PFDSM3638_02295.t01;Name=PFDSM3638_02295;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011579.1;product=hypothetical protein;protein_id=PRJNA382684:PFDSM3638_02295;transl_table=11;translation=length.187	CP023154	PFDSM3638_02295	PF0462
CP023154	GenBank	CDS	459684	460388	.	-	1	ID=PFDSM3638_02305.p01;Parent=PFDSM3638_02305.t01;Name=PFDSM3638_02305;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_014835149.1;product=TIGR02253 family HAD-type hydrolase;protein_id=PRJNA382684:PFDSM3638_02305;transl_table=11;translation=length.234	CP023154	PFDSM3638_02305	PF0463
CP023154	GenBank	CDS	460429	462390	.	-	1	ID=PFDSM3638_02310.p01;Parent=PFDSM3638_02310.t01;Name=PFDSM3638_02310;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011581.1;product=glyceraldehyde-3-phosphate:ferredoxin oxidoreductase;protein_id=PRJNA382684:PFDSM3638_02310;transl_table=11;translation=length.653	CP023154	PFDSM3638_02310	PF0464
CP023154	GenBank	CDS	462440	463492	.	-	1	ID=PFDSM3638_02315.p01;Parent=PFDSM3638_02315.t01;Name=PFDSM3638_02315;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011582.1;product=glycosyl transferase;protein_id=PRJNA382684:PFDSM3638_02315;transl_table=11;translation=length.350	CP023154	PFDSM3638_02315	PF0465
CP023154	GenBank	CDS	463482	463772	.	-	1	ID=PFDSM3638_02320.p01;Parent=PFDSM3638_02320.t01;Name=PFDSM3638_02320;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011583.1;product=hypothetical protein;protein_id=PRJNA382684:PFDSM3638_02320;transl_table=11;translation=length.96	CP023154	PFDSM3638_02320	PF0466
CP023154	GenBank	CDS	463759	466845	.	-	1	ID=PFDSM3638_02325.p01;Parent=PFDSM3638_02325.t01;Name=PFDSM3638_02325;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011584.1;product=ATP-dependent protease LonB;protein_id=PRJNA382684:PFDSM3638_02325;transl_table=11;translation=length.1028	CP023154	PFDSM3638_02325	PF0467
CP023154	GenBank	CDS	466901	467269	.	+	1	ID=PFDSM3638_02330.p01;Parent=PFDSM3638_02330.t01;Name=PFDSM3638_02330;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_014835150.1;product=metalloprotease;protein_id=PRJNA382684:PFDSM3638_02330;transl_table=11;translation=length.122	CP023154	PFDSM3638_02330	PF0468
CP023154	GenBank	CDS	467266	467838	.	-	1	ID=PFDSM3638_02335.p01;Parent=PFDSM3638_02335.t01;Name=PFDSM3638_02335;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010884557.1;product=ASCH domain-containing protein;protein_id=PRJNA382684:PFDSM3638_02335;transl_table=11;translation=length.190	CP023154	PFDSM3638_02335	PF0469
CP023154	GenBank	CDS	467835	468176	.	-	1	ID=PFDSM3638_02340.p01;Parent=PFDSM3638_02340.t01;Name=PFDSM3638_02340;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011587.1;product=ASCH domain-containing protein;protein_id=PRJNA382684:PFDSM3638_02340;transl_table=11;translation=length.113	CP023154	PFDSM3638_02340	PF0470
CP023154	GenBank	CDS	468250	469443	.	-	1	ID=PFDSM3638_02345.p01;Parent=PFDSM3638_02345.t01;Name=PFDSM3638_02345;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011588.1;product=transposase;protein_id=PRJNA382684:PFDSM3638_02345;transl_table=11;translation=length.397	CP023154	PFDSM3638_02345	PF0471
CP023154	GenBank	CDS	469457	469621	.	-	1	ID=PFDSM3638_02350.p01;Parent=PFDSM3638_02350.t01;Name=PFDSM3638_02350;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_014835151.1;product=class III signal peptide-containing protein;protein_id=PRJNA382684:PFDSM3638_02350;transl_table=11;translation=length.54	CP023154	PFDSM3638_02350	NA
CP023154	GenBank	CDS	469693	470355	.	+	1	ID=PFDSM3638_02355.p01;Parent=PFDSM3638_02355.t01;Name=PFDSM3638_02355;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_014835152.1;product=Kae1-associated kinase Bud32;protein_id=PRJNA382684:PFDSM3638_02355;transl_table=11;translation=length.220	CP023154	PFDSM3638_02355	PF0473
CP023154	GenBank	CDS	470345	472033	.	-	1	ID=PFDSM3638_02360.p01;Parent=PFDSM3638_02360.t01;Name=PFDSM3638_02360;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011591.1;product=DNA mismatch repair protein;protein_id=PRJNA382684:PFDSM3638_02360;transl_table=11;translation=length.562	CP023154	PFDSM3638_02360	PF0474
CP023154	GenBank	CDS	472030	472860	.	-	1	ID=PFDSM3638_02365.p01;Parent=PFDSM3638_02365.t01;Name=PFDSM3638_02365;Note=eIF-2BA%3B catalyzes the binding of GTP to IF2%3B Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011592.1;product=translation initiation factor IF-2B subunit alpha;protein_id=PRJNA382684:PFDSM3638_02365;transl_table=11;translation=length.276	CP023154	PFDSM3638_02365	PF0475
CP023154	GenBank	CDS	472860	473618	.	-	1	ID=PFDSM3638_02370.p01;Parent=PFDSM3638_02370.t01;Name=PFDSM3638_02370;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011593.1;product=damage-inducible protein CinA;protein_id=PRJNA382684:PFDSM3638_02370;transl_table=11;translation=length.252	CP023154	PFDSM3638_02370	PF0476
CP023154	GenBank	CDS	473769	475151	.	+	1	ID=PFDSM3638_02375.p01;Parent=PFDSM3638_02375.t01;Name=PFDSM3638_02375;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_014835153.1;product=alpha-amylase;protein_id=PRJNA382684:PFDSM3638_02375;transl_table=11;translation=length.460	CP023154	PFDSM3638_02375	PF0477
CP023154	GenBank	CDS	475077	477245	.	-	1	ID=PFDSM3638_02380.p01;Parent=PFDSM3638_02380.t01;Name=PFDSM3638_02380;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_014835154.1;product=alpha-amylase;protein_id=PRJNA382684:PFDSM3638_02380;transl_table=11;translation=length.722	CP023154	PFDSM3638_02380	PF0478
CP023154	GenBank	CDS	477319	478716	.	-	1	ID=PFDSM3638_02385.p01;Parent=PFDSM3638_02385.t01;Name=PFDSM3638_02385;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011596.1;product=hypothetical protein;protein_id=PRJNA382684:PFDSM3638_02385;transl_table=11;translation=length.465	CP023154	PFDSM3638_02385	PF0479
CP023154	GenBank	CDS	478876	479649	.	+	1	ID=PFDSM3638_02390.p01;Parent=PFDSM3638_02390.t01;Name=PFDSM3638_02390;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011597.1;product=alpha/beta hydrolase;protein_id=PRJNA382684:PFDSM3638_02390;transl_table=11;translation=length.257	CP023154	PFDSM3638_02390	PF0480
CP023154	GenBank	CDS	479800	480222	.	-	1	ID=PFDSM3638_02395.p01;Parent=PFDSM3638_02395.t01;Name=PFDSM3638_02395;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_013748686.1;product=translation initiation factor IF-2 subunit beta;protein_id=PRJNA382684:PFDSM3638_02395;transl_table=11;translation=length.140	CP023154	PFDSM3638_02395	PF0481
CP023154	GenBank	CDS	480265	483414	.	-	1	ID=PFDSM3638_02400.p01;Parent=PFDSM3638_02400.t01;Name=PFDSM3638_02400;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011599.1;product=cell division protein;protein_id=PRJNA382684:PFDSM3638_02400;transl_table=11;translation=length.1049	CP023154	PFDSM3638_02400	PF0482
CP023154	GenBank	CDS	483416	483904	.	-	1	ID=PFDSM3638_02405.p01;Parent=PFDSM3638_02405.t01;Name=PFDSM3638_02405;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011600.1;product=hypothetical protein;protein_id=PRJNA382684:PFDSM3638_02405;transl_table=11;translation=length.162	CP023154	PFDSM3638_02405	PF0483
CP023154	GenBank	CDS	483957	484703	.	-	1	ID=PFDSM3638_02410.p01;Parent=PFDSM3638_02410.t01;Name=PFDSM3638_02410;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011601.1;product=GTPase;protein_id=PRJNA382684:PFDSM3638_02410;transl_table=11;translation=length.248	CP023154	PFDSM3638_02410	PF0484
CP023154	GenBank	CDS	484751	485488	.	-	1	ID=PFDSM3638_02415.p01;Parent=PFDSM3638_02415.t01;Name=PFDSM3638_02415;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_013905951.1;product=septum site-determining protein MinD;protein_id=PRJNA382684:PFDSM3638_02415;transl_table=11;translation=length.245	CP023154	PFDSM3638_02415	PF0485
CP023154	GenBank	CDS	485602	486456	.	+	1	ID=PFDSM3638_02420.p01;Parent=PFDSM3638_02420.t01;Name=PFDSM3638_02420;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011603.1;product=EamA family transporter;protein_id=PRJNA382684:PFDSM3638_02420;transl_table=11;translation=length.284	CP023154	PFDSM3638_02420	PF0486
CP023154	GenBank	CDS	486443	487444	.	-	1	ID=PFDSM3638_02425.p01;Parent=PFDSM3638_02425.t01;Name=PFDSM3638_02425;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011604.1;product=hypothetical protein;protein_id=PRJNA382684:PFDSM3638_02425;transl_table=11;translation=length.333	CP023154	PFDSM3638_02425	PF0487
CP023154	GenBank	CDS	487634	488011	.	+	1	ID=PFDSM3638_02430.p01;Parent=PFDSM3638_02430.t01;Name=PFDSM3638_02430;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010868549.1;product=30S ribosomal protein S6e;protein_id=PRJNA382684:PFDSM3638_02430;transl_table=11;translation=length.125	CP023154	PFDSM3638_02430	PF0488
CP023154	GenBank	CDS	488108	488905	.	+	1	ID=PFDSM3638_02435.p01;Parent=PFDSM3638_02435.t01;Name=PFDSM3638_02435;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011606.1;product=hypothetical protein;protein_id=PRJNA382684:PFDSM3638_02435;transl_table=11;translation=length.265	CP023154	PFDSM3638_02435	PF0489
CP023154	GenBank	CDS	488902	489633	.	-	1	ID=PFDSM3638_02440.p01;Parent=PFDSM3638_02440.t01;Name=PFDSM3638_02440;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011607.1;product=DUF2110 domain-containing protein;protein_id=PRJNA382684:PFDSM3638_02440;transl_table=11;translation=length.243	CP023154	PFDSM3638_02440	PF0490
CP023154	GenBank	CDS	489651	490238	.	-	1	ID=PFDSM3638_02445.p01;Parent=PFDSM3638_02445.t01;Name=tfe;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011608.1;locus_tag=PFDSM3638_02445;product=transcription factor E;protein_id=PRJNA382684:PFDSM3638_02445;transl_table=11;translation=length.195	CP023154	PFDSM3638_02445	PF0491
CP023154	GenBank	CDS	490355	490636	.	-	1	ID=PFDSM3638_02450.p01;Parent=PFDSM3638_02450.t01;Name=PFDSM3638_02450;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010884718.1;product=hypothetical protein;protein_id=PRJNA382684:PFDSM3638_02450;transl_table=11;translation=length.93	CP023154	PFDSM3638_02450	PF0492
CP023154	GenBank	CDS	490877	492856	.	+	1	ID=PFDSM3638_02460.p01;Parent=PFDSM3638_02460.t01;Name=PFDSM3638_02460;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011610.1;product=DUF460 domain-containing protein;protein_id=PRJNA382684:PFDSM3638_02460;transl_table=11;translation=length.659	CP023154	PFDSM3638_02460	PF0493
CP023154	GenBank	CDS	492853	496035	.	+	1	ID=PFDSM3638_02465.p01;Parent=PFDSM3638_02465.t01;Name=PFDSM3638_02465;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011611.1;product=intein-containing DNA topoisomerase I;protein_id=PRJNA382684:PFDSM3638_02465;transl_table=11;translation=length.1060	CP023154	PFDSM3638_02465	PF0494
CP023154	GenBank	CDS	496119	499763	.	+	1	ID=PFDSM3638_02470.p01;Parent=PFDSM3638_02470.t01;Name=PFDSM3638_02470;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011612.1;product=reverse gyrase;protein_id=PRJNA382684:PFDSM3638_02470;transl_table=11;translation=length.1214	CP023154	PFDSM3638_02470	PF0495
CP023154	GenBank	CDS	499976	500770	.	+	1	ID=PFDSM3638_02475.p01;Parent=PFDSM3638_02475.t01;Name=PFDSM3638_02475;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011613.1;product=transcriptional regulator;protein_id=PRJNA382684:PFDSM3638_02475;transl_table=11;translation=length.264	CP023154	PFDSM3638_02475	PF0496
CP023154	GenBank	CDS	500875	501087	.	-	1	ID=PFDSM3638_02480.p01;Parent=PFDSM3638_02480.t01;Name=PFDSM3638_02480;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011614.1;product=ArsR family transcriptional regulator;protein_id=PRJNA382684:PFDSM3638_02480;transl_table=11;translation=length.70	CP023154	PFDSM3638_02480	PF0497
CP023154	GenBank	CDS	501084	501401	.	-	1	ID=PFDSM3638_02485.p01;Parent=PFDSM3638_02485.t01;Name=PFDSM3638_02485;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011615.1;product=hypothetical protein;protein_id=PRJNA382684:PFDSM3638_02485;transl_table=11;translation=length.105	CP023154	PFDSM3638_02485	PF0498
CP023154	GenBank	CDS	501398	502111	.	-	1	ID=PFDSM3638_02490.p01;Parent=PFDSM3638_02490.t01;Name=PFDSM3638_02490;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011616.1;product=arginase;protein_id=PRJNA382684:PFDSM3638_02490;transl_table=11;translation=length.237	CP023154	PFDSM3638_02490	PF0499
CP023154	GenBank	CDS	502116	502952	.	-	1	ID=PFDSM3638_02495.p01;Parent=PFDSM3638_02495.t01;Name=PFDSM3638_02495;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011617.1;product=class I SAM-dependent methyltransferase family protein;protein_id=PRJNA382684:PFDSM3638_02495;transl_table=11;translation=length.278	CP023154	PFDSM3638_02495	PF0500
CP023154	GenBank	CDS	502921	503475	.	-	1	ID=PFDSM3638_02500.p01;Parent=PFDSM3638_02500.t01;Name=PFDSM3638_02500;Note=THEP1%3B Aquifex aeolicus protein exhibits ATPase and GTPase activity%3B crystal structure shows RecA-like fold%3B Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011618.1;product=NTPase;protein_id=PRJNA382684:PFDSM3638_02500;transl_table=11;translation=length.184	CP023154	PFDSM3638_02500	PF0501
CP023154	GenBank	CDS	503506	504222	.	-	1	ID=PFDSM3638_02505.p01;Parent=PFDSM3638_02505.t01;Name=PFDSM3638_02505;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011619.1;product=ABC transporter ATP-binding protein;protein_id=PRJNA382684:PFDSM3638_02505;transl_table=11;translation=length.238	CP023154	PFDSM3638_02505	PF0502
CP023154	GenBank	CDS	504215	505210	.	-	1	ID=PFDSM3638_02510.p01;Parent=PFDSM3638_02510.t01;Name=PFDSM3638_02510;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011620.1;product=iron ABC transporter permease;protein_id=PRJNA382684:PFDSM3638_02510;transl_table=11;translation=length.331	CP023154	PFDSM3638_02510	PF0503
CP023154	GenBank	CDS	505240	507690	.	-	1	ID=PFDSM3638_02515.p01;Parent=PFDSM3638_02515.t01;Name=PFDSM3638_02515;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011621.1;product=tRNA(Met) cytidine acetyltransferase;protein_id=PRJNA382684:PFDSM3638_02515;transl_table=11;translation=length.816	CP023154	PFDSM3638_02515	PF0504
CP023154	GenBank	CDS	507730	508278	.	-	1	ID=PFDSM3638_02520.p01;Parent=PFDSM3638_02520.t01;Name=PFDSM3638_02520;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011011622.1;product=helix-turn-helix domain-containing protein;protein_id=PRJNA382684:PFDSM3638_02520;transl_table=11;translation=length.182	CP023154	PFDSM3638_02520	PF0505
CP023154	GenBank	CDS	508388	508570	.	+	1	ID=PFDSM3638_02525.p01;Parent=PFDSM3638_02525.t01;Name=PFDSM3638_02525;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_014835156.1;product=class III signal peptide-containing protein;protein_id=PRJNA382684:PFDSM3638_02525;transl_table=11;translation=length.60	CP023154	PFDSM3638_02525	NA
CP023154	GenBank	CDS	508657	508851	.	+	1	ID=PFDSM3638_02530.p01;Parent=PFDSM3638_02530.t01;Name=PFDSM3638_02530;Note=Derived by automated computational analysis using gene prediction method: Protein Homology.;codon_start=1;inference=COORDINATES: similar to AA sequence:RefSeq:WP_014835157.1;product=hypothetical protein;protein_id=PRJNA382684:PFDSM3638_02530;transl_table=11;translation=length.64	CP023154	PFDSM3638_02530	PF0507
